_id,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
19875477,Dog Senior Lifetime Neutered Male,CHINESE SHAR-PEI,BLACK,CHANCE,15131,2099,2006-10-24T00:00:00
19875478,Dog Senior Lifetime Female,POODLE TOY,GREY,ZOE,15132,2099,2006-02-01T00:00:00
19875479,Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/FAWN,CARA MIA,15239,2099,2005-02-08T00:00:00
19875480,Dog Senior Lifetime Neutered Male,PEKINGESE,FAWN,DUDLEY,15147,2099,2005-02-08T00:00:00
19875481,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,RILEY,15101,2099,2005-08-31T00:00:00
19875482,Dog Lifetime Neutered Male,MIXED,MULTI,SCOOTER,15236,2099,2005-03-18T00:00:00
19875483,Dog Lifetime Spayed Female,BRITTANY SPANIEL,BROWN,SADIE,15235,2099,2005-01-21T00:00:00
19875484,Dog Lifetime Spayed Female,MIXED,BLACK,SADIE MCKENZIE,15215,2099,2004-02-20T00:00:00
19875485,Dog Lifetime Spayed Female,BICHON FRISE,WHITE,JENNY,15235,2099,2004-02-17T00:00:00
19875486,Dog Lifetime Female,BICHON FRISE,WHITE,KEEPER,15235,2099,2004-02-17T00:00:00
19875487,Dog Lifetime Neutered Male,HAVANESE,CREAM,OSO,15147,2099,2005-12-05T00:00:00
19875488,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,JESSIE,15146,2099,2004-02-24T00:00:00
19875489,Dog Lifetime Neutered Male,CHOW CHOW MIX,WHITE,KODIAK,15238,2099,2006-01-09T00:00:00
19875490,Dog Lifetime Neutered Male,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,BAILEY,15108,2099,2004-02-19T00:00:00
19875491,Dog Lifetime Spayed Female,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,MONA,15108,2099,2004-02-19T00:00:00
19875492,Dog Lifetime Spayed Female,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,CHLOE,15108,2099,2004-02-19T00:00:00
19875493,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,JASPER,15044,2099,2004-04-07T00:00:00
19875494,Dog Lifetime Spayed Female,CANE CORSO,,CHLOE,15147,2099,2005-02-16T00:00:00
19875495,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,DUKE PEAIRS,15037,2099,2004-02-19T00:00:00
19875496,Dog Lifetime Neutered Male,MIXED,BLACK,DUKE,15139,2099,2004-02-20T00:00:00
19875497,Dog Senior Lifetime Spayed Female,RAT TERRIER,BLACK,WICKIE,15236,2099,2005-03-01T00:00:00
19875498,Dog Lifetime Neutered Male,LHASA APSO,BEIGE,SAMSON,15221,2099,2006-02-16T00:00:00
19875499,Dog Lifetime Female,SIB HUSKY,WHITE/GREY,JOURNEY,15237,2099,2004-02-20T00:00:00
19875500,Dog Senior Lifetime Spayed Female,DACHSHUND,RED,HEIDI,15146,2099,2006-06-23T00:00:00
19875501,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ZOEY,15112,2099,2005-02-08T00:00:00
19875502,Dog Lifetime Neutered Male,SHIH TZU,WHITE,FLURRY,15237,2099,2004-05-21T00:00:00
19875503,Dog Lifetime Spayed Female,AM PIT BULL TERRIER,BROWN,PRISCILLA,15065,2099,2004-02-20T00:00:00
19875504,Dog Senior Lifetime Spayed Female,POODLE STANDARD,RED,POOH BOT,15202,2099,2004-02-20T00:00:00
19875505,Dog Lifetime Neutered Male,MIXED,BLACK/TAN,DARIO,15202,2099,2004-02-20T00:00:00
19875506,Dog Senior Lifetime Neutered Male,MIXED,WHITE,MICKEY,15120,2099,2006-02-01T00:00:00
19875507,Dog Lifetime Neutered Male,PUG,FAWN,ERNIE,15101,2099,2006-04-13T00:00:00
19875508,Dog Lifetime Neutered Male,MALTESE,WHITE,BAILEY,15142,2099,2006-05-01T00:00:00
19875509,Dog Lifetime Neutered Male,BICHON FRISE,WHITE,MAX,15132,2099,2005-06-20T00:00:00
19875510,Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,BEN,15227,2099,2006-02-01T00:00:00
19875511,Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,SAMMIE,15227,2099,2006-02-01T00:00:00
19875512,Dog Senior Lifetime Neutered Male,PARSON RUSSELL TERR,SPOTTED,MOOSE,15237,2099,2005-01-12T00:00:00
19875513,Dog Senior Lifetime Spayed Female,SHIH TZU,WHITE/BROWN,CASEY,15227,2099,2006-01-01T00:00:00
19875514,Dog Lifetime Female,BICHON FRISE,WHITE,KATIE,15235,2099,2004-02-17T00:00:00
19875515,Dog Lifetime Male,BICHON FRISE,WHITE,MAGIC,15235,2099,2006-02-14T00:00:00
19875516,Dog Lifetime Spayed Female,OLD ENG SHEEPDOG,WHITE/GREY,MORGAN,15202,2099,2004-02-19T00:00:00
19875517,Dog Lifetime Neutered Male,TAG,WHITE/RED,JOEY,15220,2099,2004-02-19T00:00:00
19875518,Dog Lifetime Spayed Female,GREYHOUND,BRINDLE,LADY,15234,2099,2004-02-19T00:00:00
19875519,Dog Lifetime Spayed Female,ENG SETTER,SPOTTED,SETTER HILLS BELL,15135,2099,2004-02-19T00:00:00
19875520,Dog Lifetime Spayed Female,MIXED,BROWN,LIZA JANE,15237,2099,2004-02-19T00:00:00
19875521,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,HARLEY,15237,2099,2004-02-19T00:00:00
19875522,Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,ROWDY,15122,2099,2004-02-19T00:00:00
19875523,Dog Lifetime Neutered Male,MIXED,SPOTTED,DAKOTA,15122,2099,2004-02-19T00:00:00
19875524,Dog Lifetime Neutered Male,MIXED,SPOTTED,SHUKA,15071,2099,2004-02-19T00:00:00
19875525,Dog Senior Lifetime Neutered Male,COCKAPOO,WHITE/BEIGE,CLANCY,15235,2099,2004-02-19T00:00:00
19875526,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,INDIE,15237,2099,2004-02-19T00:00:00
19875527,Dog Lifetime Spayed Female,BOXER,WHITE,BABE,15065,2099,2004-02-19T00:00:00
19875528,Dog Lifetime Male,IRISH SETTER,RED,RHETT,15108,2099,2004-02-20T00:00:00
19875529,Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,WHITE/BROWN,SHELBY,15135,2099,2004-02-20T00:00:00
19875530,Dog Lifetime Male,GOLDEN RETRIEVER,GOLD,MILOWE,15237,2099,2004-02-20T00:00:00
19875531,Dog Senior Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,DILLAN,15143,2099,2004-02-20T00:00:00
19875532,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ROXY,15143,2099,2004-02-20T00:00:00
19875533,Dog Lifetime Spayed Female,BORD COLLIE,WHITE/RED,RUMOR,15146,2099,2004-02-20T00:00:00
19875534,Dog Lifetime Neutered Male,BERNESE MTN DOG,WHITE/BLACK/BROWN,BARON,15143,2099,2004-02-20T00:00:00
19875535,Dog Lifetime Spayed Female,WELSH CORGI PEMBROK,MULTI,LUCY,15237,2099,2004-02-20T00:00:00
19875536,Dog Lifetime Female,SIB HUSKY,WHITE/GREY,SHADOW,15237,2099,2004-02-20T00:00:00
19875537,Dog Lifetime Female,POODLE TOY,WHITE/BLACK,SHADOW,15223,2099,2004-02-20T00:00:00
19875538,Dog Lifetime Male,SIB HUSKY,WHITE/GREY,MADISON,15237,2099,2004-02-20T00:00:00
19875539,Dog Lifetime Male,SIB HUSKY,WHITE/RED,DOBIE,15237,2099,2004-02-20T00:00:00
19875540,Dog Lifetime Female,BOSTON TERRIER,WHITE/BLACK,CADY,15235,2099,2004-02-20T00:00:00
19875541,Dog Lifetime Neutered Male,BOSTON TERRIER,WHITE/BLACK,MURRAY,15235,2099,2004-02-20T00:00:00
19875542,Dog Lifetime Male,IRISH SETTER,RED,CASEY,15108,2099,2004-02-20T00:00:00
19875543,Dog Lifetime Spayed Female,MIXED,WHITE/RED,TASHA,15237,2099,2004-02-23T00:00:00
19875544,Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,DOZER,15037,2099,2004-02-23T00:00:00
19875545,Dog Lifetime Neutered Male,BRITTANY SPANIEL,OTHER,BOW,15136,2099,2004-02-24T00:00:00
19875546,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ALLIE,15140,2099,2004-02-24T00:00:00
19875547,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,GOLD,MARLOW,15241,2099,2004-02-25T00:00:00
19875548,Dog Lifetime Neutered Male,POODLE STANDARD,WHITE,BUDDY,15102,2099,2004-02-25T00:00:00
19875549,Dog Lifetime Spayed Female,BOSTON TERRIER,WHITE/BLACK,OREO,15235,2099,2004-02-26T00:00:00
19875550,Dog Lifetime Male,LOWCHEN,WHITE/BLACK/GREY,MR CINDERS,15236,2099,2004-03-01T00:00:00
19875551,Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,CIENA,15146,2099,2004-03-03T00:00:00
19875552,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,NORMAN,15101,2099,2004-03-01T00:00:00
19875553,Dog Lifetime Female,LABRADOR RETRIEVER,BROWN,COCOA PUFF,15071,2099,2005-03-07T00:00:00
19875554,Dog Lifetime Spayed Female,MIXED,BROWN,RAHJA,15202,2099,2004-03-02T00:00:00
19875555,Dog Lifetime Spayed Female,MIXED,BLACK,NALA,15202,2099,2004-03-02T00:00:00
19875556,Dog Lifetime Spayed Female,MIXED,GOLD,SAMANTHA,15146,2099,2004-03-03T00:00:00
19875557,Dog Lifetime Spayed Female,MIXED,TAN,GINGER,15229,2099,2004-03-03T00:00:00
19875558,Dog Lifetime Spayed Female,MIXED,BLACK,NELLIE,15239,2099,2004-03-03T00:00:00
19875559,Dog Lifetime Neutered Male,BEAGLE,MULTI,ERNIE,15239,2099,2004-03-03T00:00:00
19875560,Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLUE,DUCHESS,15146,2099,2004-03-03T00:00:00
19875561,Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLUE,DUKE,15146,2099,2004-03-03T00:00:00
19875562,Dog Lifetime Spayed Female,MIXED,BLACK,SAPHIRE,15239,2099,2004-03-03T00:00:00
19875563,Dog Lifetime Female,SIB HUSKY,WHITE/RED,NATASHA,15237,2099,2004-03-05T00:00:00
19875564,Dog Lifetime Neutered Male,ITALIAN GREYHOUND,WHITE/TAN,BOOTS,15136,2099,2004-03-05T00:00:00
19875565,Dog Lifetime Neutered Male,BLACK and TAN COONHOUND,BLUE,DUKE,15020,2099,2004-03-05T00:00:00
19875566,Dog Lifetime Spayed Female,GOLDEN RETRIEVER,OTHER,AUTUMN,15065,2099,2004-03-09T00:00:00
19875567,Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,MISSY,15044,2099,2004-03-09T00:00:00
19875568,Dog Lifetime Spayed Female,POODLE TOY,BLACK,GRACIE,15146,2099,2004-03-09T00:00:00
19875569,Dog Lifetime Spayed Female,AUS CATTLE DOG,SPOTTED,PEPPER,15024,2099,2004-03-09T00:00:00
19875570,Dog Lifetime Spayed Female,TAG,OTHER,VERDELLE,15090,2099,2004-03-09T00:00:00
19875571,Dog Lifetime Neutered Male,MIXED,BLACK/TAN,DAKOTA,15140,2099,2004-03-10T00:00:00
19875572,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,MORGAN,15237,2099,2004-03-10T00:00:00
19875573,Dog Lifetime Spayed Female,SHELTAND SHEEPDOG,WHITE/BLACK/BROWN,SHELBY,15116,2099,2004-03-10T00:00:00
19875574,Dog Lifetime Neutered Male,ROTTWEILER,BLACK/TAN,HOSS,15239,2099,2004-03-10T00:00:00
19875575,Dog Lifetime Neutered Male,AIREDALE TERRIER,BLACK/BROWN,TOBY,15227,2099,2004-03-10T00:00:00
19875576,Dog Lifetime Spayed Female,AIREDALE TERRIER,BLACK/BROWN,DAISY,15227,2099,2004-03-10T00:00:00
19875577,Dog Lifetime Neutered Male,POODLE TOY,OTHER,BAILEY,15146,2099,2004-03-10T00:00:00
19875578,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,TARA,15236,2099,2004-03-11T00:00:00
19875579,Dog Senior Lifetime Spayed Female,DACHSHUND,BLACK,LUCY,15229,2099,2004-03-26T00:00:00
19875580,Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,LADY,15132,2099,2004-03-15T00:00:00
19875581,Dog Lifetime Neutered Male,MIXED,WHITE,LEX,16046,2099,2004-03-15T00:00:00
19875582,Dog Lifetime Spayed Female,MIXED,BLACK,CHASSIS,15239,2099,2004-03-15T00:00:00
19875583,Dog Lifetime Spayed Female,DACHSHUND,BROWN,JASMINE,15137,2099,2004-03-17T00:00:00
19875584,Dog Lifetime Neutered Male,MIXED,BLACK/BROWN,BEAR,15227,2099,2004-03-18T00:00:00
19875585,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,AMOS,15088,2099,2006-06-09T00:00:00
19875586,Dog Lifetime Spayed Female,POODLE MIX,WHITE/BLACK,OREO,15024,2099,2010-02-04T16:13:03
19875587,Dog Lifetime Neutered Male,SHEPHERD MIX,BLACK/TAN,PEPPER,15024,2099,2010-02-04T16:13:03
19875588,Dog Lifetime Duplicate,LABRADOR RETRIEVER,YELLOW,PETE,15143,2099,2010-02-05T09:27:37
19875589,Dog Lifetime Duplicate,LAB MIX,BLACK,MILLIE,15102,2099,2010-02-05T09:36:02
19875590,Dog Lifetime Neutered Male,LAB MIX,BROWN,COOPER,15234,2099,2010-02-05T10:39:59
19875591,Dog Lifetime Spayed Female,LAB MIX,BLACK,CLEOPATRA,15234,2099,2010-02-05T10:50:40
19875592,Dog Lifetime Neutered Male,GER SHEPHERD MIX,BROWN,ARNOLD,15024,2099,2010-02-05T11:19:32
19875593,Dog Lifetime Neutered Male,COCKAPOO,WHITE/TAN,BEN,15218,2099,2010-02-05T11:26:13
19875594,Dog Lifetime Neutered Male,ROTTWEILER MIX,BLACK/BROWN,APOLLO,15129,2099,2010-02-05T14:25:43
19875595,Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,ROCKY,15116,2099,2010-02-05T14:46:33
19875596,Dog Lifetime Neutered Male,BOXER MIX,WHITE/BROWN,BUDDY,15145,2099,2010-02-09T10:47:24
19875597,Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,HAPPY GO LUCKY,15145,2099,2010-02-09T10:47:24
19875598,Dog Lifetime Spayed Female,MIXED,YELLOW,PEANUT,15332,2099,2010-02-09T13:38:51
19875599,Dog Lifetime Duplicate,GOLDEN RETRIEVER,GOLD,LUCY,15143,2099,2010-02-09T14:48:11
19875600,Dog Lifetime Spayed Female,MIXED,WHITE/BROWN,CHELSEA,15131,2099,2010-02-09T15:27:57
19875601,Dog Lifetime Neutered Male,LAB MIX,WHITE/BROWN,OREO,15131,2099,2010-02-09T15:27:57
19875602,Dog Lifetime Spayed Female,W HGHLND WH TERRIER,WHITE,SADIE,15237,2099,2010-02-10T11:04:00
19875603,Dog Lifetime Spayed Female,MIXED,WHITE,LULU,15233,2099,2010-02-10T11:16:29
19875604,Dog Lifetime Neutered Male,SCHNOODLE,WHITE,TIMMY,15237,2099,2010-02-10T11:52:30
19875605,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BAXTER,15237,2099,2010-02-10T12:07:53
19875606,Dog Lifetime Spayed Female,MIXED,BLACK,ELLIE,15106,2099,2010-02-10T12:14:57
19875607,Dog Lifetime Neutered Male,BRITTANY SPANIEL,WHITE,BANDIT,15104,2099,2010-02-10T13:41:05
19875608,Dog Lifetime Female,BOSTON TERRIER,WHITE/BLACK,ZOEY,15332,2099,2010-02-10T13:45:18
19875609,Dog Lifetime Spayed Female,MIXED,YELLOW,RILEY ANGEL,15090,2099,2010-02-10T13:47:35
19875610,Dog Lifetime Spayed Female,BICHON FRISE,WHITE,OLLIE,15233,2099,2010-02-10T13:49:38
19875611,Dog Lifetime Spayed Female,MIXED,WHITE/RED,TEMP,15235,2099,2010-02-10T13:49:35
19875612,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ALLEGRA,15237,2099,2010-02-10T13:52:03
19875613,Dog Lifetime Neutered Male,PUGGLE,FAWN,PHINEAS RAMSEY,15236,2099,2010-02-10T13:57:25
19875614,Dog Lifetime Spayed Female,TREE WALK COONHOUND,TRI-COLOR,KENDELL,15209,2099,2010-02-10T14:24:09
19875615,Dog Lifetime Spayed Female,YORKSHIRE TERR MIX,MULTI,TAFFY,15071,2099,2010-02-10T14:07:02
19875616,Dog Lifetime Neutered Male,BERNESE MTN DOG,TRI-COLOR,BRECKEN,15057,2099,2010-02-10T14:24:09
19875617,Dog Senior Lifetime Spayed Female,BEAGLE,BLACK/BROWN,ROSCOE,15146,2099,2010-02-10T14:24:10
19875618,Dog Lifetime Spayed Female,BULLDOG,WHITE,EDNA,15044,2099,2010-02-10T14:25:39
19875619,Dog Lifetime Spayed Female,BICHON FRISE,WHITE,JOSIE,15233,2099,2010-02-10T14:37:09
19875620,Dog Lifetime Neutered Male,LAB MIX,BLACK,PHANTOM,15084,2099,2010-02-11T11:23:12
19875621,Dog Lifetime Neutered Male,ITALIAN GREYHOUND,FAWN,JORDAN,15101,2099,2010-02-11T12:15:58
19875622,Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK,LULU,15143,2099,2010-02-11T12:25:31
19875623,Dog Lifetime Spayed Female,DACHSHUND,BLACK,ANABEL,15143,2099,2010-02-11T12:25:31
19875624,Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,LINCOLN,15143,2099,2010-02-11T12:25:31
19875625,Dog Lifetime Spayed Female,GOLDENDOODLE,GOLD,BEXLEY,15216,2099,2010-02-12T12:32:44
19875626,Dog Lifetime Spayed Female,BOXER,BRINDLE,COCOA,15239,2099,2010-02-12T13:00:45
19875627,Dog Lifetime Neutered Male,GER SHORTHAIR POINT,SPOTTED,CHARLIE,15116,2099,2010-02-16T11:33:49
19875628,Dog Lifetime Neutered Male,DACHSHUND,BRINDLE,JASPER,15147,2099,2010-02-16T14:11:12
19875629,Dog Lifetime Duplicate,LABRADOR RETRIEVER,BLACK,EBONY,15236,2099,2010-02-16T14:37:17
19875630,Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,WILLIS,15037,2099,2010-02-16T15:26:31
19875631,Dog Senior Lifetime Neutered Male,MIXED,WHITE/BROWN,DIGGER O'DELL,15084,2099,2010-02-16T15:39:33
19875632,Dog Lifetime Spayed Female,BEAGLE MIX,BROWN,ROXY,15101,2099,2010-02-16T15:39:33
19875633,Dog Lifetime Spayed Female,SHEPHERD MIX,WHITE/BLACK/BROWN,APRIL,15116,2099,2010-02-16T15:36:46
19875634,Dog Lifetime Neutered Male,RETRIEVER MIX,BLACK,BUDDY,15106,2099,2010-02-17T12:01:29
19875635,Dog Lifetime Female,YORKSHIRE TERRIER,WHITE/BROWN,CLEOPATRA,15139,2099,2010-02-17T12:06:47
19875636,Dog Lifetime Neutered Male,TERRIER MIX,TRI-COLOR,JAKE,15218,2099,2010-02-17T14:52:50
19875637,Dog Lifetime Spayed Female,MIXED,BROWN,HOPE,15018,2099,2010-02-17T14:53:59
19875638,Dog Lifetime Neutered Male,GOLDENDOODLE,BROWN,BAILEY,15229,2099,2010-02-18T13:54:06
19875639,Dog Lifetime Neutered Male,CAIRN TERRIER,TAN,HARRY,15090,2099,2010-02-18T14:12:56
19875640,Dog Lifetime Neutered Male,FRENCH BULLDOG,WHITE,CHET,15228,2099,2010-02-18T14:28:28
19875641,Dog Lifetime Spayed Female,STAFFORDSHIRE TERRI,WHITE/TAN,BELLA,15044,2099,2010-02-18T14:30:48
19875642,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,RILEY,15220,2099,2010-02-19T15:09:51
19875643,Dog Lifetime Neutered Male,POODLE TOY,WHITE,KEDO,15133,2099,2010-02-19T15:12:35
19875644,Dog Senior Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK WITH WHITE,BRUCE,15090,2099,2010-02-19T15:46:17
19875645,Dog Senior Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK WITH WHITE,BRUCE,15090,2099,2010-02-19T15:46:17
19875646,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,WINKY,15241,2099,2010-02-19T15:46:18
19875647,Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,PHOEBE,15236,2099,2010-02-22T08:47:54
19875648,Dog Lifetime Spayed Female,MIXED,BLACK WITH WHITE,HALEY,15202,2099,2010-02-22T11:55:16
19875649,Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK,BRUIN,15044,2099,2010-02-22T14:13:42
19875650,Dog Lifetime Spayed Female,GER SHEPHERD MIX,BLACK,SYDNEY,15090,2099,2010-02-22T14:13:43
19875651,Dog Lifetime Neutered Male,BOXER,WHITE,BRODY,15088,2099,2006-06-09T00:00:00
19875652,Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,SASHA,15035,2099,2004-03-19T00:00:00
19875653,Dog Lifetime Spayed Female,BOXER,WHITE/BROWN,SOZAY,15235,2099,2004-03-19T00:00:00
19875654,Dog Lifetime Spayed Female,GREAT DANE,OTHER,ROSIE,15202,2099,2004-03-19T00:00:00
19875655,Dog Lifetime Female,LABRADOR RETRIEVER,BROWN,MOCHA,15236,2099,2004-03-19T00:00:00
19875656,Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,SABLE/WHITE,ANNIE,15221,2099,2004-03-19T00:00:00
19875657,Dog Lifetime Neutered Male,MIXED,BLACK/TAN,MNEUMAN,15108,2099,2004-03-19T00:00:00
19875658,Dog Lifetime Spayed Female,WELSH CORGI PEMBROK,SABLE,FUDGE,15236,2099,2004-03-23T00:00:00
19875659,Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,CHANCE,15133,2099,2004-03-23T00:00:00
19875660,Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,PARKER,15133,2099,2004-03-23T00:00:00
19875661,Dog Lifetime Spayed Female,DACHSHUND,BROWN,GINGER,15101,2099,2004-03-24T00:00:00
19875662,Dog Lifetime Neutered Male,AUS SHEPHERD,OTHER,MADDOX,15215,2099,2004-03-25T00:00:00
19875663,Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,LUCY,15235,2099,2004-03-25T00:00:00
19875664,Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,DAKOTA,15235,2099,2004-03-25T00:00:00
19875665,Dog Lifetime Spayed Female,BOXER,BROWN,ZOE,15146,2099,2004-03-29T00:00:00
19875666,Dog Inter County Transfer - Lifetime,MIXED,WHITE/TAN,SNICKERS,15044,2099,2004-04-02T00:00:00
19875667,Dog Lifetime Neutered Male,MIXED,TAN,JACKSON,15137,2099,2004-04-05T00:00:00
19875668,Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,LADY,15133,2099,2004-04-05T00:00:00
19875669,Dog Lifetime Spayed Female,MIXED,TAN,NINA,15133,2099,2004-04-05T00:00:00
19875670,Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,KAOS,15239,2099,2004-04-07T00:00:00
19875671,Dog Lifetime Neutered Male,MIXED,BLACK,BEAR,15126,2099,2004-04-08T00:00:00
19875672,Dog Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE/TAN,ISABELLA,15147,2099,2004-04-08T00:00:00
19875673,Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,NICO,15147,2099,2004-04-08T00:00:00
19875674,Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,BUTTONS,15035,2099,2004-04-20T00:00:00
19875675,Dog Lifetime Spayed Female,MIXED,GOLD,MOLLY,15209,2099,2004-04-08T00:00:00
19875676,Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,MAXWELL,15209,2099,2004-04-09T00:00:00
19875677,Dog Inter County Transfer - Lifetime,MIXED,BROWN,MORRISON,15129,2099,2004-04-13T00:00:00
19875678,Dog Lifetime Male,LABRADOR RETRIEVER,BLACK,TUCKER,15239,2099,2004-04-13T00:00:00
19875679,Dog Lifetime Spayed Female,COCKER SPANIEL,WHITE/BLACK,ALI OLIVER,15044,2099,2004-04-14T00:00:00
19875680,Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,SABLE,15135,2099,2004-04-15T00:00:00
19875681,Dog Lifetime Spayed Female,MIXED,CREAM,ANGEL,15202,2099,2004-04-16T00:00:00
19875682,Dog Lifetime Male,LABRADOR RETRIEVER,YELLOW,TANNER,15209,2099,2004-04-16T00:00:00
19875683,Dog Lifetime Spayed Female,LABRADOR RETRIEVER,CHOCOLATE,BELLA,15120,2099,2004-04-20T00:00:00
